5.94           47,910              0.2087          1.287            2.523   
       5.90           47,590              0.2101          1.288               2.556  
       5.84           47,100              0.2123          1.304               2.592  
       5.80           46,780              0.2138          1.311               2.625  
       5.74           46,300              0.2160          1.321               2.673  
       5.70           45,970              0.2175          1.325               2.710  
       5.64           45,490              0.2198          1.339               2.772  
       5.60           45,170              0.2214          1.349               2.815  
       5.54           44,680              0.2238          1.367               2.885  
       5.50           44,360              0.2254          1.383               2.936  
       5.44           43,880              0.2279          1.410               3.019  
       5.40           43,550              0.2296          1.430               3.079  
       5.34           43,070              0.2322          1.468               3.181  
       5.30           42,750              0.2339          1.499               3.255  
       5.24           42,260              0.2366          1.552               3.384  
       5.20           41,940              0.2384          1.599               3.484  
       5.14           41,460              0.2412          1.699               3.660  
       5.10           41,130              0.2431          1.802               3.795  
       5.04           40,650              0.2460          2.044               3.992  
       5.00           40,330              0.2480          2.273               4.084  
       4.94           39,840              0.2510          2.654               4.106  
       4.90           39,520              0.2530          2.890               4.047  
       4.84           39,040              0.2562          3.187               3.898  
       4.80           38,710              0.2583          3.342               3.770  
       4.74           38,230              0.2616          3.511               3.574  
       4.70           37,910              0.2638          3.598               3.452  
       4.64           37,420              0.2672          3.708               3.280  
       4.60            37,100             0.2695          3.769               3.169  
       4.54            36,620             0.2731          3.850               3.018  
       4.50           36,290              0.2755          3.913               2.919  
       4.44           35,810              0.2792          4.004               2.715  
       4.40           35,490              0.2818          4.015               2.563  
       4.34            35,000             0.2857          3.981               2.368  
       4.30            34,680             0.2883          3.939               2.260  
       4.24           34,200              0.2924          3.864               2.132  
       4.20           33,880              0.2952          3.810               2.069  
       4.14            33,390             0.2995          3.736               2.001  
       4.10            33,070             0.3024          3.692               1.969  
       4.04            32,580             0.3069          3.634               1.935  
       4.00            32,260             0.3100          3.601               1.920  
       3.94            31,780             0.3147          3,559               1.907  
       3.90            31,460             0.3179          3.538               1.904
       3.84           30,970             0.3229          3.512               1.905  
       3.80           30,650             0.3263          3.501               1.909  
       3.74           30,160             0.3315          3.488               1.920  
       3.70           29,840             0.3351          3.485               1.931  
       3.64           29,360             0.3406          3.489               1.950  
       3.60           29,040             0.3444          3.495               1.965  
       3.54           28,550             0.3502          3.513               1.992  
       3.50           28,230             0.3542          3.531               2.013  
       3.48           28,070             0.3563          3.541               2.024  
       3.46           27,910             0.3583          3.553               2.036  
       3.44           27,750             0.3604          3.566               2.049  
       3.42           27,580             0.3625          3.580               2.062  
       3.40           27,420             0.3647          3.596               2.076  
       3.38           27,260             0.3668          3.614               2.091  
       3.36           27,100             0.3690          3.635               2.107  
       3.34           26,940             0.3712          3.657               2.123  
       3.32           26,780             0.3734          3.681               2.142  
       3.30           26,620             0.3757          3.709               2.162  
       3.28           26,450             0.3780          3.740               2.183  
       3.26           26,290             0.3803          3.776               2.207  
       3.24           26,130             0.3827          3.818               2.232  
       3.22           25,970             0.3850          3.871               2.260  
       3.20           25,810             0.3875          3.938               2.288  
       3.18           25,650             0.3899          4.023               2.307  
       3.16           25,490             0.3924          4.126               2.304  
       3.14           25,330             0.3949          4.229               2.270  
       3.12           25,160             0.3974          4.313               2.212  
       3.10           25,000             0.4000          4.373               2.146  
       3.08           24,840             0.4025          4.413               2.082  
       3.06           24,680             0.4052          4.439               2.029  
       3.04           24,520             0.4078          4.462               1.988  
       3.02           24,360             0.4105          4.483               1.961  
       3.00           24,200             0.4133          4.509               1.948  
       2.98           24,040             0.4161          4.550               1.952  
       2.96           23,870             0.4189          4.626               1.967  
       2.94           23,710             0.4217          4.755               1.960  
       2.92           23,550             0.4246          4.917               1.885  
       2.90           23,390             0.4275          5.052               1.721  
       2.88           23,230             0.4305          5.107               1.529  
       2.86           23,070             0.4335          5.102               1.353  
       2.84           22,910             0.4366          5.065               1.206  
       2.82           22,740             0.4397          5.015               1.088  
       2.80           22,580             0.4428          4.959              0.991  
       2.78           22,420             0.4460          4.902               0.912  
       2.76           22,260             0.4492          4.845               0.846  
       2.74           22,100             0.4525          4.793               0.789  
         2.72            21,940                 0.4558            4.741                   0.739  
         2.70            21,780                 0.4592            4.694                   0.696  
         2.68            21,660                 0.4626            4.649                   0.659  
         2.66            21,450                 0.4661            4.605                   0.626  
         2.64            21,290                 0.4696            4.567                   0.595  
         2.62            21,130                 0.4732            4.525                   0.569  
         2.60            20,970                 0.4769            4.492                   0.539  
         2.58            20,810                 0.4806            4.456                   0.517  
         2.56            20,650                 0.4843            4.423                   0.497  
         2.54            20,490                 0.4881            4.392                   0.476  
         2.52            20,330                 0.4920            4.362                   0.458  
         2.50            20,160                 0.4959            4.333                   0.441  
         2.48            20,000                 0.4999            4.305                   0.426  
         2.46             19,840                0.5040            4.279                   0.411  
         2.44             19,680                0.5081            4.254                   0.398  
         2.42             19,520                0.5123            4.229                   0.385  
         2.40             19,360                0.5166            4.205                   0.371  
         2.38             19,200                0.5209            4.183                   0.359  
         2.36             19,030                0.5254            4.162                   0.347  
         2.34             18,870                0.5299            4.141                   0.337  
         2.32             18,710                0.5344            4.120                   0.327  
         2.30             18,550                0.5391            4.100                   0.320  
         2.28             18,390                0.5438            4.082                   0.308  
         2.26             18,230                0.5486            4.063                   0.301  
         2.24             18,070                0.5535            4.045                   0.294  
         2.22             17,910                0.5585            4.029                   0.285  
         2.20             17,740                0.5636            4.013                   0.276  
         2.18             17,580                0.5687            3.998                   0.266  
         2.16             17,420                0.5740            3.983                   0.257  
         2.14             17,260                0.5794            3.968                   0.251  
         2.12             17,100                0.5848            3.954                   0.245  
         2.10             16,940                0.5904            3.940                   0.240  
         2.08             16,780                0.5961            3.927                   0.232  
         2.06             16,610                0.6019            3.914                   0.228  
         2.04             16,450                0.6078            3.902                   0.223  
         2.02             16,290                0.6138            3.890                   0.213  
         2.00             16,130                0.6199            3.878                   0.211  
         1.98             15,970                0.6262            3.867                   0.203  
         1.96             15,810                0.6326            3.856                   0.196  
         1.94             15,650                0.6391            3.846                   0.187  
         1.92             15,490                0.6458            3.836                   0.183  
         1.90             15,320                0.6526            3.826                   0.179  
         1.88             15,160                0.6595            3.817                   0.173  
         1.86             15,000                0.6666            3.809                   0.173  
         1.84             14,840                0.6738            3.799                   0.168  
         1.82             14,680                0.6812            3.792                   0.158  
         1.80             14,520                0.6888            3.785                   0.151  
          1.78            14,360                  0.6965            3.779                  0.152  
          1.76            14,200                  0.7045            3.772                  0.134  
          1.74            14,030                  0.7126            3.762                  0.127  
          1.72            13,870                  0.7208            3.752                  0.118  
          1.70            13,710                  0.7293            3.742                  0.112  
          1.68            13,550                  0.7380            3.734                  0.105  
          1.66            13,390                  0.7469            3.725                  0.101  
          1.64            13,230                  0.7560            3.716                  0.097  
          1.62            13,070                  0.7653            3.707                  0.093  
          1.60            12,900                  0.7749            3.700                  0.091  
          1.58            12,740                  0.7847            3.693                  0.089  
          1.56            12,580                  0.7948            3.685                  0.087  
          1.54            12,420                  0.8051            3.679                  0.085  
          1.52            12,260                  0.8157            3.672                  0.083  
          1.50            12,100                  0.8266            3.666                  0.080  
          1.40             11,290                 0.8856           3.6140             	   0.0169 
          1.35             10,890                 0.9184            3.5690  
          1.30             10,490                 0.9537            3.5388  
          1.25             10,080                 0.9919            3.5138  
          1.20             9,679                 1.033              3.4920
          1.15             9,275                 1.078              3.4724  
          1.10              8,872                1.127              3.4546  
          1.05              8,469                1.181              3.4383  
          1.00              8,065                1.240              3.4232  
          0.95              7,662                1.305              3.4094  
          0.90             7,259                 1.378              3.3965  
          0.85              6,856                1.459              3.3847  
          0.80              6,452                1.550              3.3737  
          0.75              6,049                1.653              3.3636  
          0.70              5,646                1.771              3.3543  
          0.65              5,243                1.907              3.3457
          0.60              4,839                  2.066               3.3378  
          0.55              4,436                  2.254               3.3306  
          0.50              4,033                  2.480               3.3240    
