             6.0             48,390              0.2066        1.434          2.112
             5.94            47,910              0.2087        1.401              2.085  
             5.9             47,590              0.2101         1.383             2.084  
             5.84            47,100              0.2123         1.350             2.089  
             5.8             46,780              0.2138         1.333             2.102  
              5.74           46,300              0.2160         1.306             2.135  
             5.7             45,970              0.2175         1.293             2.163  
              5.64           45,490              0.2198        1.281              2.212  
             5.6             45,170              0.2214         1.276             2.248  
              5.54           44,680              0.2238         1.277             2.304  
             5.5             44,360              0.2254         1.282             2.344  
              4.28              34,520                 0.2897         3.742              2.382  
               4.26             34,360                 0.2910         3.715              2.297  
               4.24             34,200                 0.2924         3.684              2.222  
               4.22             34,040                 0.2938         3.650              2.156  
               4.2              33,880                 0.2952         3.615              2.099  
               4.18             33,710                 0.2966         3.580              2.049  
               4.16             33,550                 0.2980         3.545              2.005  
               4.14             33,390                 0.2995         3.512                1.967  
               4.12             33,230                 0.3009         3.480                1.933  
              4.1               33,070                 0.3024         3.449                1.903  
               4.08             32,910                 0.3039         3.419                1.877  
               4.06             32,750                 0.3054         3.391                1.854  
               4.04             32,580                 0.3069         3.364                1.833  
               4.02             32,420                 0.3084         3.338                1.815  
               4.0              32,260                 0.3100         3.313                1.799  
               3.94             31,780                 0.3147         3.246                1.761  
               3.9              31,460                 0.3179         3.208                1.743  
               3.84             30,970                 0.3229         3.158                1.726  
               3.8              30,650                 0.3263         3.129                1.719  
               3.74             30,160                 0.3315         3.091                1.714  
               3.7              29,840                 0.3351         3.069                1.715  
               3.64             29,360                 0.3406         3.044                1.721  
               3.6              29,040                 0.3444         3.030                1.728  
               3.54             28,550                 0.3502         3.015                1.742  
               3.5              2~,23o                 0.3542         3.008                1.754  
               3.44             27,750                 0.3604         3.003                1.774  
               3.4              27,420                 0.3647         3.004                1.790  
               3.34             26,940                 0.3712         3.010                1.817  
               3.3              26,620                 0.3757         3.018                1.836  
               3.24             26,130                 0.3827         3.035                1.868  
               3.2              25,810                 0.3875         3.051                1.891  
               3.14             25,330                 0.3949         3.083                1.929  
               3.1              25,000                 0.4000         3.108                1.957  
               3.04             24,520                 0.4078         3.157                2.001  
               3.0              24,200                 0.4133         3.197                2.034  
               2.98             24,040                 0.4161         3.220                2.051  
               2.96             23,870                 0.4189         3.244                2.069  
               2.94             23,710                 0.4217         3.272                2.088  
               2.92             23,550                 0.4246         3.302                2.108  
               2.9              23,390                 0.4275         3.337                2.129  
               2.88             23,230                 0.4305         3.377                2.151  
               2.86             23,070                 0.4335         3.425                2.174  
               2.84             22,910                 0.4366         3.482                2.194  
               2.82             22,740                 0.4397        3.550                 2.207  
               2.8              22,580                 0.4428        3.626                 2.208  
               2.78             22,420               0.4460          3.705                 2.189  
               2.76             22,260               0.4492          3.776                 2.153  
               2.74             22,100                 0.4525        3.834                 2.108 
               1.78            14,360                0.6965         3.839               0.523  
               1.76            14,200                0.7045         3.828               0.515  
               1.74            14,030                0.7126         3.817               0.508  
               1.72            13,870                0.7208         3.807               0.500  
              1.7              13,710                0.7293         3.798               0.493  
               1.68            13,550                0.7380         3.788               0.486  
               1.66            13,390                0.7469         3.780               0.478  
               1.64            13,230                0.7560         3.770               0.475  
               1.62            13,070                0.7653         3.761               0.473  
              1.6              12,900                0.7749         3.755               0.463  
               1.58            12,740                0.7847         3.746               0.457  
               1.56            12,580                0.7948         3.735               0.458  
               1.54            12,420                0.8051         3.729               0.448  
               1.52            12,260                0.8157         3.720               0.444  
              1.5              12,100                0.8266         3.714               0.432  
              1.4              11,290                0.8856         3.696    
              1.2               9,679                1.033          3.613  
               1.00             8,065                1.240          3.548  
               0.90             7,259                1.378          3.516               0.232 

