wl,n,k
0.21,1.53835762,0
0.2174,1.530846431,0
0.2251,1.524078907,0
0.233,1.518041768,0
0.2412,1.512572116,0
0.2497,1.507609587,0
0.2585,1.503100963,0
0.2676,1.498999219,0
0.277,1.495262719,0
0.2868,1.491821503,0
0.2969,1.488683281,0
0.3074,1.485791437,0
0.3182,1.483150433,0
0.3294,1.480714442,0
0.341,1.478467652,0
0.353,1.47639513,0
0.3655,1.474468282,0
0.3783,1.47270468,0
0.3917,1.471052512,0
0.4055,1.46952865,0
0.4197,1.468121822,0
0.4345,1.46680482,0
0.4498,1.46558083,0
0.4657,1.464436031,0
0.4821,1.463371935,0
0.4991,1.462376439,0
0.5167,1.461444991,0
0.5349,1.460573079,0
0.5537,1.459756285,0
0.5732,1.458986561,0
0.5934,1.458260788,0
0.6143,1.457575807,0
0.636,1.456925601,0
0.6584,1.456310408,0
0.6816,1.455724699,0
0.7056,1.45516603,0
0.7305,1.454629875,0
0.7562,1.454116165,0
0.7829,1.453618854,0
0.8104,1.45313961,0
0.839,1.452671274,0
0.8686,1.452213821,0
0.8992,1.451765383,0
0.9308,1.451324079,0
0.9636,1.450885397,0
0.9976,1.450447736,0
1.033,1.450006962,0
1.069,1.44957109,0
1.107,1.449121462,0
1.146,1.448668311,0
1.186,1.448209659,0
1.228,1.447732246,0
1.271,1.447245577,0
1.316,1.446736352,0
1.362,1.446213852,0
1.41,1.445664578,0
1.46,1.445086147,0
1.512,1.444475988,0
